,ZINC ID,Global Rank∗,Clustered Rank†,Energy,TC to knowns‡,Cosest neighbor among known DRD4 binders,Top-pick or not,Just from energy window,Energy window,Tested or not,Binder or not,D4 Ki(nM),D2 Ki(nM),D3 Ki(nM),cAMP EC50(nM),Inhibition (%) at 10uM,SMILES,Vendor ID,Charge from docked poses
209,ZINC000362128724,4226,1615,-63.85,0.34,ZINC000013764480,1,0,0,1,1,160,8610,6040,32190,85.83,CN(CCNc1ncc(C#N)cc1Cl)Cc1ccc(F)cc1,Z1340738007,1
210,ZINC000112717206,4269,1623,-63.83,0.28,ZINC000026992736,1,0,0,1,0,,,,NT,55.9,OC1(CNCc2ccc(-c3ccccc3)s2)CCOCC1,Z1118522209,1
211,ZINC000518842964,4312,1631,-63.82,0.33,ZINC000013536463,1,0,0,1,1,120,>10000,>10000,22140,99.88,O[C@@H]1Cc2ccccc2[C@H]1NCc1cn2ccc(Br)cc2n1,Z2170526438,1
212,ZINC000271618372,4374,1655,-63.79,0.32,ZINC000038149997,1,0,0,1,0,,,,NT,21.48,CC[C@@H]1CC[C@H](C)N1CC(=O)Nc1cc(-n2nnnc2C)ccc1F,Z1580087457,1
213,ZINC000162663443,4430,1668,-63.77,0.27,ZINC000027651441,1,0,0,1,0,,,,NT,0.29,Cc1sc2nc(CN(C)[C@H]3CCSC3)[nH]c(=O)c2c1C,Z1535072789,1
214,ZINC000629994563,4468,1676,-63.76,0.3,ZINC000013742649,1,0,0,1,0,,,,NT,41.96,COc1ccc(CNC(=O)CN(C)C2CCC2)c(OC)n1,Z2727542688,1
215,ZINC000423276506,4507,1694,-63.74,0.33,ZINC000028880823,1,0,0,1,0,,,,NT,17.11,C[C@@H](NC(=O)[C@@H]1C[C@H](C)CCN1)c1noc(-c2ccc(Cl)cc2)n1,Z2377823918,1
216,ZINC000594232893,4600,1722,-63.7,0.36,ZINC000100908824,1,0,0,1,1,5530,>10000,>10000,NT,65.44,CC(C)N1C[C@H](C)[C@H](NC(=O)N2Cc3ccc(C#N)cc3C2)C1,Z2495850321,1
217,ZINC000481348051,4664,1728,-63.69,0.28,ZINC000001530751,1,0,0,1,0,,,,NT,55.78,CN(CC#Cc1ccccc1Cl)C[C@@H]1CCCC[C@H]1O,Z1616183641,1
218,ZINC000361363076,4693,1738,-63.68,0.36,ZINC000028527042,1,0,0,1,0,,,,NT,13.73,CO[C@@H]1CCN([C@H](C)C(=O)Nc2ccc(SC)cc2)C1,Z1366591546,1
219,ZINC000162847633,20578,5815,-61,0.28,ZINC000040829386,0,1,-61,1,0,,,,NT,28.36,CCCC[C@@H](CN)NC(=O)c1c(C)nn(-c2ccccc2)c1Cl,Z1457896938,1
220,ZINC000278933042,20608,5796,-61,0.27,ZINC000013737378,0,1,-61,1,1,270,>10000,>10000,40.5,91.76,C=Cn1cc(CNC[C@@H](CO)Cc2ccccc2Br)cn1,Z1897481689,1
221,ZINC000300952679,20553,5789,-61,0.34,ZINC000038149990,0,1,-61,1,0,,,,NT,54.54,Cc1ccc(I)cc1NC(=O)CNC1CC1,Z2488793930,1
222,ZINC000349908169,20567,5793,-61,0.32,ZINC000038239930,0,1,-61,1,0,,,,NT,23.55,CC(C)N(C)C[C@H](C)NC(=O)Nc1ccc(F)cc1Br,Z2167397160,1
223,ZINC000355163361,20519,5814,-61,0.32,ZINC000029549416,0,1,-61,1,0,,,,NT,18.48,CCOC(=O)c1coc(CN(CCO)C2CCC(CC)CC2)c1,Z1950603253,1
224,ZINC000364862581,20536,5800,-61,0.29,ZINC000064454016,0,1,-61,1,0,,,,NT,23.22,Cc1csc(NC(=O)C2CCN([C@H]3CCC(C)(C)C3)CC2)n1,Z1665475789,1
225,ZINC000367568545,20506,5813,-61,0.32,ZINC000026969433,0,1,-61,1,0,,,,NT,0.63,Cn1nccc1[C@@H]1CCC[C@@H](NC[C@H](CO)c2cccnc2)C1,Z2105896347,1
226,ZINC000373209847,20574,5822,-61,0.29,ZINC000027709213,0,1,-61,1,0,,,,NT,48.49,Fc1cccc(Cl)c1CCCNCc1cccnc1-n1cncn1,Z1897636626,1
227,ZINC000424406638,20543,5818,-61,0.29,ZINC000095584611,0,1,-61,1,0,,,,NT,20.49,CCCc1cc(N2C[C@@H](c3cnn(C)c3)[C@H](N)C2)n2ncnc2n1,Z2396498941,1
228,ZINC000449156693,20537,5802,-61,0.28,ZINC000026480703,0,1,-61,1,1,760,>10000,>10000,ND,83.12,CCC(CC)[C@@H](O)CNCc1cnc(-c2ccccc2F)s1,Z2259825635,1
229,ZINC000484629121,20580,5804,-61,0.3,ZINC000006117518,0,1,-61,1,1,2630,>10000,>10000,NT,53.77,CS[C@H]1CN(CC#Cc2ccccc2Cl)C[C@@H]1N1CCCC1,Z1738226609,1
230,ZINC000569143155,20532,5809,-61,0.32,ZINC000013740180,0,1,-61,1,0,,,,NT,60.6,COC(=O)c1cccc(CN2CC[C@]3(CC[C@@H](C)C3)C2)c1C#N,Z1641307278,1
231,ZINC000581277232,20512,5803,-61,0.33,ZINC000000000178,0,1,-61,1,0,,,,NT,2.37,COC(=O)c1occc1CNC[C@H](CO)c1ccccc1Cl,Z2165254445,1
232,ZINC000602819835,20504,5795,-61,0.29,ZINC000027441619,0,1,-61,1,0,,,,NT,60.8,CCOC(=O)c1ncc(CN2CCCC[C@@H]2C[C@H](C)O)s1,Z2835728465,1
