,x,y,i
0,10000,0.2807256994952045,0
1,14303,0.2904373631731406,0
2,20458,0.2912158345017765,0
3,29262,0.2698645174067592,0
4,41854,0.2720554620806772,0
5,59865,0.2904373631731406,0
6,85626,0.3192387236375336,0
7,122474,0.2742942167427357,0
8,175178,0.3065524472192022,0
9,250562,0.2807256994952045,0
10,358385,0.3049851110862476,0
11,512608,0.31680353228507163,0
12,733197,0.29507493202277146,0
13,1048711,0.3003797620112332,0
14,1500000,0.29507493202277146,0
15,10000,0.21942705861364237,1
16,14303,0.3208601058440383,1
17,20458,0.36031685757835863,1
18,29262,0.29507493202277146,1
19,41854,0.30970998513161335,1
20,59865,0.31047598428943,1
21,85626,0.3049851110862476,1
22,122474,0.3065524472192022,1
23,175178,0.312808280232633,1
24,250562,0.3049851110862476,1
25,358385,0.2912158345017765,1
26,512608,0.311254455618066,1
27,733197,0.29432348373091066,1
28,1048711,0.29888933759833075,1
29,1500000,0.2966692911925012,1
30,10000,0.3935105008662702,2
31,14303,0.29507493202277146,2
32,20458,0.275769050942114,2
33,29262,0.3081468063889319,2
34,41854,0.27059413939968635,2
35,59865,0.28815391656564643,2
36,85626,0.3152549044083459,2
37,122474,0.3003797620112332,2
38,175178,0.2859515390684775,2
39,250562,0.312808280232633,2
40,358385,0.2904373631731406,2
41,512608,0.30970998513161335,2
42,733197,0.29888933759833075,2
43,1048711,0.3026393036246571,2
44,1500000,0.3026393036246571,2
45,10000,0.26494840340883136,3
46,14303,0.3431759374824123,3
47,20458,0.28293327373021476,3
48,29262,0.35341039298718935,3
49,41854,0.31759759382723163,3
50,59865,0.27931738354019553,3
51,85626,0.292790446067709,3
52,122474,0.3192387236375336,3
53,175178,0.30891488424188507,3
54,250562,0.28367952528423424,3
55,358385,0.2904373631731406,3
56,512608,0.2974134640513841,3
57,733197,0.29888933759833075,3
58,1048711,0.29888933759833075,3
59,1500000,0.2996355891523502,3
60,10000,0.3577257640906559,4
61,14303,0.29358450760986904,4
62,20458,0.30970998513161335,4
63,29262,0.3232277396045625,4
64,41854,0.3192387236375336,4
65,59865,0.32974652755276623,4
66,85626,0.29583677379031503,4
67,122474,0.28000439228282353,4
68,175178,0.2981264564832189,4
69,250562,0.29507493202277146,4
